"","Game_ID","Patch_Version","Date","Map","Match_Type","Ranking_Type","Server_Type","Solo_Queue","Season_ID","Region","Limited_MM","Player_Type","Name","User_ID","Champion","Role","Forfeited","Group","User_Leave_Type","Left_During_Round","AFK_Detection","League","Division","Division_Rating","Total_Time_Played","Account_Level","Champion_Level","Champion_Time_Played","Round","Kills","Deaths","Assists","Damage","Damage_Received","Protection","Protection_Received","Control","Control_Received","Energy_Used","Energy_Gained","Abilities_Used","Num_Energy_Used","Orb_Kills","First_Orb","MVP","Round_Length","Round_Won","Total_Score","Highest_Score","Health_Shards","Energy_Shards","Time_Alive","Premade","Queue_Time","Ping","Avatar","Title","Outfit Rarity","Outfit","Attachment Rarity","Attachment","Pose Rarity","Pose","Mount Rarity","Mount","Battlerite 1","Battlerite 2","Battlerite 3","Battlerite 4","Battlerite 5","Battlerites","Team_Comp","Team_Roles","Enemy_Comp","Enemy_Roles","City","Latitude","Longitude","Region Group","Region_Clean"
"1","D151E0B16F1B4FF5972E01D5C91C985A",67104,"2019-07-16","MERIKO SUMMIT - NIGHT","QUICK2V2","UNRANKED","2V2",0,14,"US Southeast",0,"PLAYER","Xeralak","885989875285901312","JADE","RANGED",FALSE,1,"NORMAL",-1,FALSE,"Gold",5,21,"Under 10",0,2,"Under 10",1,0,1,0,225,239.79999,0,15,9,33,0,82,40,0,0,0,FALSE,47,0,234,0,0,0,27,0,135.17267,"120","StarterAvatar_01","Contender","Epic","DEATH DEALER","Common","DEFAULT WEAPON","Common","DEFAULT POSE","Rare","MAGNIFICENT MOOSE","DEADLY FOCUS","EVASIVE MEASURES","THROUGH THE SHADOWS","DESPERADO","GUNSLINGER","DEADLY FOCUS, EVASIVE MEASURES, THROUGH THE SHADOWS, DESPERADO, GUNSLINGER","JADE, ZANDER","RANGED SUPPORT","JAMILA, ROOK","MELEE MELEE","Atlanta",33.7537,-84.3863,"USA","US Southeast"
"2","D151E0B16F1B4FF5972E01D5C91C985A",67104,"2019-07-16","MERIKO SUMMIT - NIGHT","QUICK2V2","UNRANKED","2V2",0,14,"US Southeast",0,"PLAYER","Xeralak","885989875285901312","JADE","RANGED",FALSE,1,"NORMAL",-1,FALSE,"Gold",5,21,"Under 10",0,2,"Under 10",2,0,1,0,70,261.39893,0,30,6,36,0,62,31,0,0,1,FALSE,47,0,76,0,0,0,30,0,135.17267,"120","StarterAvatar_01","Contender","Epic","DEATH DEALER","Common","DEFAULT WEAPON","Common","DEFAULT POSE","Rare","MAGNIFICENT MOOSE","DEADLY FOCUS","EVASIVE MEASURES","THROUGH THE SHADOWS","DESPERADO","GUNSLINGER","DEADLY FOCUS, EVASIVE MEASURES, THROUGH THE SHADOWS, DESPERADO, GUNSLINGER","JADE, ZANDER","RANGED SUPPORT","JAMILA, ROOK","MELEE MELEE","Atlanta",33.7537,-84.3863,"USA","US Southeast"
"3","D151E0B16F1B4FF5972E01D5C91C985A",67104,"2019-07-16","MERIKO SUMMIT - NIGHT","QUICK2V2","UNRANKED","2V2",0,14,"US Southeast",0,"PLAYER","Xeralak","885989875285901312","JADE","RANGED",FALSE,1,"NORMAL",-1,FALSE,"Gold",5,21,"Under 10",0,2,"Under 10",3,0,1,0,240,245.39682,0,25,61,52,50,120,65,2,1,1,FALSE,50,0,301,0,0,2,49,0,135.17267,"120","StarterAvatar_01","Contender","Epic","DEATH DEALER","Common","DEFAULT WEAPON","Common","DEFAULT POSE","Rare","MAGNIFICENT MOOSE","DEADLY FOCUS","EVASIVE MEASURES","THROUGH THE SHADOWS","DESPERADO","GUNSLINGER","DEADLY FOCUS, EVASIVE MEASURES, THROUGH THE SHADOWS, DESPERADO, GUNSLINGER","JADE, ZANDER","RANGED SUPPORT","JAMILA, ROOK","MELEE MELEE","Atlanta",33.7537,-84.3863,"USA","US Southeast"
"4","D151E0B16F1B4FF5972E01D5C91C985A",67104,"2019-07-16","MERIKO SUMMIT - NIGHT","QUICK2V2","UNRANKED","2V2",0,14,"US Southeast",0,"PLAYER","SoggyMilkBag","973328264338800640","ZANDER","SUPPORT",FALSE,2,"NORMAL",-1,FALSE,"Silver",2,26,"10-50",5,17,"10-50",1,0,1,0,257.5,353.9965,115.87713,110,46,29,100,140,31,0,0,0,FALSE,47,0,419.37713,0,2,0,46,0,8.214808,"40","Drop_55","Contender","Common","DEFAULT OUTFIT","Common","DEFAULT WEAPON","Common","DEFAULT POSE","Common","RAM","STACKED DECK","AWESTRUCK","SHOWDOWN","PHANTASMAGORIA","THREE OF A KIND","STACKED DECK, AWESTRUCK, SHOWDOWN, PHANTASMAGORIA, THREE OF A KIND","ZANDER, JADE","RANGED SUPPORT","JAMILA, ROOK","MELEE MELEE","Atlanta",33.7537,-84.3863,"USA","US Southeast"
"5","D151E0B16F1B4FF5972E01D5C91C985A",67104,"2019-07-16","MERIKO SUMMIT - NIGHT","QUICK2V2","UNRANKED","2V2",0,14,"US Southeast",0,"PLAYER","SoggyMilkBag","973328264338800640","ZANDER","SUPPORT",FALSE,2,"NORMAL",-1,FALSE,"Silver",2,26,"10-50",5,17,"10-50",2,0,1,0,162,359.71786,137.05766,132,14,44,100,106,26,0,1,1,FALSE,47,0,313.05766,0,2,0,46,0,8.214808,"40","Drop_55","Contender","Common","DEFAULT OUTFIT","Common","DEFAULT WEAPON","Common","DEFAULT POSE","Common","RAM","STACKED DECK","AWESTRUCK","SHOWDOWN","PHANTASMAGORIA","THREE OF A KIND","STACKED DECK, AWESTRUCK, SHOWDOWN, PHANTASMAGORIA, THREE OF A KIND","ZANDER, JADE","RANGED SUPPORT","JAMILA, ROOK","MELEE MELEE","Atlanta",33.7537,-84.3863,"USA","US Southeast"
"6","D151E0B16F1B4FF5972E01D5C91C985A",67104,"2019-07-16","MERIKO SUMMIT - NIGHT","QUICK2V2","UNRANKED","2V2",0,14,"US Southeast",0,"PLAYER","SoggyMilkBag","973328264338800640","ZANDER","SUPPORT",FALSE,2,"NORMAL",-1,FALSE,"Silver",2,26,"10-50",5,17,"10-50",3,0,1,0,216.5,312,85.3,99,22,38,100,100,34,0,0,1,FALSE,50,0,323.8,0,2,0,47,0,8.214808,"40","Drop_55","Contender","Common","DEFAULT OUTFIT","Common","DEFAULT WEAPON","Common","DEFAULT POSE","Common","RAM","STACKED DECK","AWESTRUCK","SHOWDOWN","PHANTASMAGORIA","THREE OF A KIND","STACKED DECK, AWESTRUCK, SHOWDOWN, PHANTASMAGORIA, THREE OF A KIND","ZANDER, JADE","RANGED SUPPORT","JAMILA, ROOK","MELEE MELEE","Atlanta",33.7537,-84.3863,"USA","US Southeast"
"7","D151E0B16F1B4FF5972E01D5C91C985A",67104,"2019-07-16","MERIKO SUMMIT - NIGHT","QUICK2V2","UNRANKED","2V2",0,14,"US Southeast",0,"PLAYER","SwiftLegit","791434513803784192","JAMILA","MELEE",FALSE,3,"NORMAL",-1,FALSE,"Gold",2,50,"50-100",31,2,"Under 10",1,1,0,0,484.99646,240.2,40,37,17,25,100,128,53,0,1,1,TRUE,47,1,541.99646,1,0,1,-72,1,59.091354,"40","Drop_29","Founder","Rare","IRIS","Common","DEFAULT WEAPON","Common","DEFAULT POSE","Legendary","RAZER SERPENT","TASTE OF BLOOD","PUSH OFF","PHANTOM BLADES","FIRING MECHANISM","SHADOW DOUBLE","TASTE OF BLOOD, PUSH OFF, PHANTOM BLADES, FIRING MECHANISM, SHADOW DOUBLE","JAMILA, ROOK","MELEE MELEE","JADE, ZANDER","RANGED SUPPORT","Atlanta",33.7537,-84.3863,"USA","US Southeast"
"8","D151E0B16F1B4FF5972E01D5C91C985A",67104,"2019-07-16","MERIKO SUMMIT - NIGHT","QUICK2V2","UNRANKED","2V2",0,14,"US Southeast",0,"PLAYER","SwiftLegit","791434513803784192","JAMILA","MELEE",FALSE,3,"NORMAL",-1,FALSE,"Gold",2,50,"50-100",31,2,"Under 10",2,1,0,0,294,68,34,28,31,3,0,95,41,0,0,0,FALSE,47,1,359,0,0,0,-159,1,59.091354,"40","Drop_29","Founder","Rare","IRIS","Common","DEFAULT WEAPON","Common","DEFAULT POSE","Legendary","RAZER SERPENT","TASTE OF BLOOD","PUSH OFF","PHANTOM BLADES","FIRING MECHANISM","SHADOW DOUBLE","TASTE OF BLOOD, PUSH OFF, PHANTOM BLADES, FIRING MECHANISM, SHADOW DOUBLE","JAMILA, ROOK","MELEE MELEE","JADE, ZANDER","RANGED SUPPORT","Atlanta",33.7537,-84.3863,"USA","US Southeast"
"9","D151E0B16F1B4FF5972E01D5C91C985A",67104,"2019-07-16","MERIKO SUMMIT - NIGHT","QUICK2V2","UNRANKED","2V2",0,14,"US Southeast",0,"PLAYER","SwiftLegit","791434513803784192","JAMILA","MELEE",FALSE,3,"NORMAL",-1,FALSE,"Gold",2,50,"50-100",31,2,"Under 10",3,0,0,0,382,186.79999,30,18,56,31,100,100,44,0,0,0,FALSE,50,1,468,1,0,0,-245,1,59.091354,"40","Drop_29","Founder","Rare","IRIS","Common","DEFAULT WEAPON","Common","DEFAULT POSE","Legendary","RAZER SERPENT","TASTE OF BLOOD","PUSH OFF","PHANTOM BLADES","FIRING MECHANISM","SHADOW DOUBLE","TASTE OF BLOOD, PUSH OFF, PHANTOM BLADES, FIRING MECHANISM, SHADOW DOUBLE","JAMILA, ROOK","MELEE MELEE","JADE, ZANDER","RANGED SUPPORT","Atlanta",33.7537,-84.3863,"USA","US Southeast"
"10","D151E0B16F1B4FF5972E01D5C91C985A",67104,"2019-07-16","MERIKO SUMMIT - NIGHT","QUICK2V2","UNRANKED","2V2",0,14,"US Southeast",0,"PLAYER","Mostaccioli_God","931660525711069184","ROOK","MELEE",FALSE,3,"NORMAL",-1,FALSE,"Gold",2,50,"10-50",13,3,"Under 10",1,1,0,0,250.8,194.29997,0,15,45,30,100,100,27,0,0,1,FALSE,47,1,295.8,0,0,2,-72,1,59.091354,"40","Drop_22","Contender","Epic","WAR BOY","Rare","RARE BEEF N BASH","Common","DEFAULT POSE","Epic","DEMONIC STEED","CRUSHING LEAP","FRENZY","MADNESS","CRAG","GIANT","CRUSHING LEAP, FRENZY, MADNESS, CRAG, GIANT","ROOK, JAMILA","MELEE MELEE","JADE, ZANDER","RANGED SUPPORT","Atlanta",33.7537,-84.3863,"USA","US Southeast"
