"","Game_ID","Patch_Version","Date","Map","Match_Type","Ranking_Type","Server_Type","Solo_Queue","Season_ID","Region","Limited_MM","Player_Type","Name","User_ID","Champion","Role","Forfeited","Group","User_Leave_Type","Left_During_Round","AFK_Detection","League","Division","Division_Rating","Total_Time_Played","Account_Level","Champion_Level","Champion_Time_Played","Round","Kills","Deaths","Assists","Damage","Damage_Received","Protection","Protection_Received","Control","Control_Received","Energy_Used","Energy_Gained","Abilities_Used","Num_Energy_Used","Orb_Kills","First_Orb","MVP","Round_Length","Round_Won","Total_Score","Highest_Score","Health_Shards","Energy_Shards","Time_Alive","Premade","Queue_Time","Ping","Avatar","Title","Outfit Rarity","Outfit","Attachment Rarity","Attachment","Pose Rarity","Pose","Mount Rarity","Mount","Battlerite 1","Battlerite 2","Battlerite 3","Battlerite 4","Battlerite 5","Battlerites","Team_Comp","Team_Roles","Enemy_Comp","Enemy_Roles","City","Latitude","Longitude","Region Group","Region_Clean"
"2394","BFA93AF9E8AE43ED91991AAA9C917C12",67104,"2019-07-13","MOUNT ARAZ - DAY","QUICK2V2","UNRANKED","2V2",0,14,"EU North",NA,"BOT","Celepilin","999609923153162240","POLOMA","SUPPORT",FALSE,3,"NORMAL",-1,FALSE,"Silver",5,0,"10-50",29,2,"Under 10",2,0,1,0,155.2,227.95,42,24,29,57,25,56,16,0,0,0,FALSE,43,0,226.2,0,0,0,17,NA,0,"Unknown","Drop_38","Contender",NA,"DEFAULT OUTFIT",NA,"DEFAULT WEAPON",NA,"DEFAULT POSE","Rare","NOBLE WULLBEAR","INTO THE REALM","SPIRITUAL WIND","PHANTASM","AFFECTION","SHIMMERING BOND","INTO THE REALM, SPIRITUAL WIND, PHANTASM, AFFECTION, SHIMMERING BOND","POLOMA, SHIFU","MELEE SUPPORT","JADE, BLOSSOM","RANGED SUPPORT","Stockholm",59.3346,18.0632,"Europe","EU North"
"2395","BFA93AF9E8AE43ED91991AAA9C917C12",67104,"2019-07-13","MOUNT ARAZ - DAY","QUICK2V2","UNRANKED","2V2",0,14,"EU North",NA,"BOT","Celepilin","999609923153162240","POLOMA","SUPPORT",FALSE,3,"NORMAL",-1,FALSE,"Silver",5,0,"10-50",29,2,"Under 10",3,0,1,0,67.2,208,14.4,6.4,6,51,25,38,15,0,0,0,FALSE,34,0,87.6,0,0,0,18,NA,0,"Unknown","Drop_38","Contender",NA,"DEFAULT OUTFIT",NA,"DEFAULT WEAPON",NA,"DEFAULT POSE","Rare","NOBLE WULLBEAR","INTO THE REALM","SPIRITUAL WIND","PHANTASM","AFFECTION","SHIMMERING BOND","INTO THE REALM, SPIRITUAL WIND, PHANTASM, AFFECTION, SHIMMERING BOND","POLOMA, SHIFU","MELEE SUPPORT","JADE, BLOSSOM","RANGED SUPPORT","Stockholm",59.3346,18.0632,"Europe","EU North"
"2396","BFA93AF9E8AE43ED91991AAA9C917C12",67104,"2019-07-13","MOUNT ARAZ - DAY","QUICK2V2","UNRANKED","2V2",0,14,"EU North",NA,"BOT","SirNine","999609972784361472","SHIFU","MELEE",FALSE,4,"NORMAL",-1,FALSE,"Silver",5,0,"Under 10",17,0,"Under 10",1,1,1,0,313,343,24,117.6,22,43,75,136,32,0,0,0,FALSE,70,0,359,0,2,2,52,NA,0,"Unknown","Drop_62","Contender",NA,"DEFAULT OUTFIT",NA,"DEFAULT WEAPON",NA,"DEFAULT POSE","Rare","ROYAL WULLBEAR","MANTRA","CEREMONIAL SPEAR","POISED TO STRIKE","JAVELIN MASTER","SPEAR DANCE","MANTRA, CEREMONIAL SPEAR, POISED TO STRIKE, JAVELIN MASTER, SPEAR DANCE","SHIFU, POLOMA","MELEE SUPPORT","JADE, BLOSSOM","RANGED SUPPORT","Stockholm",59.3346,18.0632,"Europe","EU North"
"2397","BFA93AF9E8AE43ED91991AAA9C917C12",67104,"2019-07-13","MOUNT ARAZ - DAY","QUICK2V2","UNRANKED","2V2",0,14,"EU North",NA,"BOT","SirNine","999609972784361472","SHIFU","MELEE",FALSE,4,"NORMAL",-1,FALSE,"Silver",5,0,"Under 10",17,0,"Under 10",2,1,1,0,255,302,14,80,7,25,50,150,32,0,0,0,FALSE,43,0,276,0,2,2,42,NA,0,"Unknown","Drop_62","Contender",NA,"DEFAULT OUTFIT",NA,"DEFAULT WEAPON",NA,"DEFAULT POSE","Rare","ROYAL WULLBEAR","MANTRA","CEREMONIAL SPEAR","POISED TO STRIKE","JAVELIN MASTER","SPEAR DANCE","MANTRA, CEREMONIAL SPEAR, POISED TO STRIKE, JAVELIN MASTER, SPEAR DANCE","SHIFU, POLOMA","MELEE SUPPORT","JADE, BLOSSOM","RANGED SUPPORT","Stockholm",59.3346,18.0632,"Europe","EU North"
"2398","BFA93AF9E8AE43ED91991AAA9C917C12",67104,"2019-07-13","MOUNT ARAZ - DAY","QUICK2V2","UNRANKED","2V2",0,14,"EU North",NA,"BOT","SirNine","999609972784361472","SHIFU","MELEE",FALSE,4,"NORMAL",-1,FALSE,"Silver",5,0,"Under 10",17,0,"Under 10",3,0,1,0,179,264,8,40,12,60,25,100,27,0,0,0,FALSE,34,0,199,0,0,1,33,NA,0,"Unknown","Drop_62","Contender",NA,"DEFAULT OUTFIT",NA,"DEFAULT WEAPON",NA,"DEFAULT POSE","Rare","ROYAL WULLBEAR","MANTRA","CEREMONIAL SPEAR","POISED TO STRIKE","JAVELIN MASTER","SPEAR DANCE","MANTRA, CEREMONIAL SPEAR, POISED TO STRIKE, JAVELIN MASTER, SPEAR DANCE","SHIFU, POLOMA","MELEE SUPPORT","JADE, BLOSSOM","RANGED SUPPORT","Stockholm",59.3346,18.0632,"Europe","EU North"
"2399","2970CD6AA0D444BDA7F8CA29E7A48487",67104,"2019-07-13","BLACKSTONE ARENA - NIGHT","QUICK2V2","UNRANKED","2V2",0,14,"EU North",0,"PLAYER","voeeki","1148998525552566272","JAMILA","MELEE",FALSE,1,"NORMAL",-1,FALSE,"Bronze",4,42,"10-50",0,9,"Under 10",1,2,0,0,522.8813,407,76.5,232.5,41,77,100,183,87,5,2,1,FALSE,120,1,640.3813,0,0,0,-86,1,193.73848,"40","Drop_23","Contender","Epic","SUNGLOW WARRIOR","Rare","COLUMBIDAE BLADES","Common","DEFAULT POSE","Rare","THREADS OF TUR-KARBORUN","TASTE OF BLOOD","PUSH OFF","DEADLY STAR","DECEPTIVE MOMENTUM","FIRING MECHANISM","TASTE OF BLOOD, PUSH OFF, DEADLY STAR, DECEPTIVE MOMENTUM, FIRING MECHANISM","JAMILA, SIRIUS","MELEE SUPPORT","ASHKA, OLDUR","RANGED SUPPORT","Stockholm",59.3346,18.0632,"Europe","EU North"
"2400","2970CD6AA0D444BDA7F8CA29E7A48487",67104,"2019-07-13","BLACKSTONE ARENA - NIGHT","QUICK2V2","UNRANKED","2V2",0,14,"EU North",0,"PLAYER","voeeki","1148998525552566272","JAMILA","MELEE",FALSE,1,"NORMAL",-1,FALSE,"Bronze",4,42,"10-50",0,9,"Under 10",2,0,1,0,188.46954,450,28,171,41,107,125,125,47,1,0,1,FALSE,77,0,257.46954,0,3,0,76,1,193.73848,"40","Drop_23","Contender","Epic","SUNGLOW WARRIOR","Rare","COLUMBIDAE BLADES","Common","DEFAULT POSE","Rare","THREADS OF TUR-KARBORUN","TASTE OF BLOOD","PUSH OFF","DEADLY STAR","DECEPTIVE MOMENTUM","FIRING MECHANISM","TASTE OF BLOOD, PUSH OFF, DEADLY STAR, DECEPTIVE MOMENTUM, FIRING MECHANISM","JAMILA, SIRIUS","MELEE SUPPORT","ASHKA, OLDUR","RANGED SUPPORT","Stockholm",59.3346,18.0632,"Europe","EU North"
"2401","2970CD6AA0D444BDA7F8CA29E7A48487",67104,"2019-07-13","BLACKSTONE ARENA - NIGHT","QUICK2V2","UNRANKED","2V2",0,14,"EU North",0,"PLAYER","voeeki","1148998525552566272","JAMILA","MELEE",FALSE,1,"NORMAL",-1,FALSE,"Bronze",4,42,"10-50",0,9,"Under 10",3,0,1,0,362,442,90.75,154,34,76,75,95,46,3,1,0,FALSE,76,0,486.75,0,2,0,67,1,193.73848,"40","Drop_23","Contender","Epic","SUNGLOW WARRIOR","Rare","COLUMBIDAE BLADES","Common","DEFAULT POSE","Rare","THREADS OF TUR-KARBORUN","TASTE OF BLOOD","PUSH OFF","DEADLY STAR","DECEPTIVE MOMENTUM","FIRING MECHANISM","TASTE OF BLOOD, PUSH OFF, DEADLY STAR, DECEPTIVE MOMENTUM, FIRING MECHANISM","JAMILA, SIRIUS","MELEE SUPPORT","ASHKA, OLDUR","RANGED SUPPORT","Stockholm",59.3346,18.0632,"Europe","EU North"
"2402","2970CD6AA0D444BDA7F8CA29E7A48487",67104,"2019-07-13","BLACKSTONE ARENA - NIGHT","QUICK2V2","UNRANKED","2V2",0,14,"EU North",0,"PLAYER","voeeki","1148998525552566272","JAMILA","MELEE",FALSE,1,"NORMAL",-1,FALSE,"Bronze",4,42,"10-50",0,9,"Under 10",4,0,1,0,349,468.5,67,166,43,102,125,129,46,1,1,0,FALSE,113,0,459,0,4,4,96,1,193.73848,"40","Drop_23","Contender","Epic","SUNGLOW WARRIOR","Rare","COLUMBIDAE BLADES","Common","DEFAULT POSE","Rare","THREADS OF TUR-KARBORUN","TASTE OF BLOOD","PUSH OFF","DEADLY STAR","DECEPTIVE MOMENTUM","FIRING MECHANISM","TASTE OF BLOOD, PUSH OFF, DEADLY STAR, DECEPTIVE MOMENTUM, FIRING MECHANISM","JAMILA, SIRIUS","MELEE SUPPORT","ASHKA, OLDUR","RANGED SUPPORT","Stockholm",59.3346,18.0632,"Europe","EU North"
"2403","2970CD6AA0D444BDA7F8CA29E7A48487",67104,"2019-07-13","BLACKSTONE ARENA - NIGHT","QUICK2V2","UNRANKED","2V2",0,14,"EU North",0,"PLAYER","SirkoArtVk","1149000080217513984","SIRIUS","SUPPORT",FALSE,1,"NORMAL",-1,FALSE,"Bronze",4,42,"10-50",0,8,"Under 10",1,0,0,0,191.15723,335,459.5,165.5,63,88,175.00003,196.28574,86,4,0,1,TRUE,120,1,713.65723,1,2,3,-86,1,193.73848,"40","Drop_69","Contender","Common","DEFAULT OUTFIT","Epic","MIDNIGHT DADAO","Common","DEFAULT POSE","Rare","SERPENTS TAPESTRY","RADIANCE","COSMIC REACH","SUNSCREEN","MOONSTONE","SAROS SLASH","RADIANCE, COSMIC REACH, SUNSCREEN, MOONSTONE, SAROS SLASH","SIRIUS, JAMILA","MELEE SUPPORT","ASHKA, OLDUR","RANGED SUPPORT","Stockholm",59.3346,18.0632,"Europe","EU North"
