Game_ID,Patch_Version,Date,Match_Type,Ranking_Type,Server_Type,Season_ID,Region,Player_Type,User_ID,Name,Forfeited,Group,User_Leave_Type,Left_During_Round,AFK_Detection,Division,Division_Rating,Account_Level,Champion_Level,Round,Kills,Deaths,Assists,Damage,Damage_Received,Protection,Protection_Received,Control,Control_Received,Energy_Used,Energy_Gained,Abilities_Used,Orb_Kills,MVP,Round_Length,Round_Won,URL,Map,Role,Champion,Avatar,Title,Outfit Rarity,Outfit,Attachment Rarity,Attachment,Pose Rarity,Pose,Mount Rarity,Mount,Battlerite 1,Battlerite 2,Battlerite 3,Battlerite 4,Battlerite 5,Battlerites,League,City,Latitude,Longitude
5CE20A75F6D9497CA92B7E9B0EF70F57,67104,2019-07-17T02:59:40Z,LEAGUE3V3,RANKED,QUICK3V3,14,us_southeast,PLAYER,850888762270560256,kingslothe,False,1,NORMAL,-1,False,1,67,450,16,2,1.0,0.0,0.0,545.99,258.0,163.06001,140.5,26.0,30.0,175.0,205.0,62.0,1.0,True,76.0,1.0,https://cdn.developer.battlerite.com/stunlock-studios-battlerite/global/2019/07/17/03/24/6bb0b906-a842-11e9-be5f-0a586460069f-telemetry.json,MERIKO SUMMIT - NIGHT,RANGED,VARESH,Season03_Gold,#1 Season 4 3v3,Rare,PALE OBSIDIAN,Legendary,ANCIENT SERPENT CONDUCTORS,Rare,GLORY,Legendary,RAZER SERPENT,PERPETUITY,FERVOR,CELERITY,INHIBITOR,SYNERGY,"PERPETUITY, FERVOR, CELERITY, INHIBITOR, SYNERGY",Silver,Atlanta,33.7537,-84.3863
5CE20A75F6D9497CA92B7E9B0EF70F57,67104,2019-07-17T02:59:40Z,LEAGUE3V3,RANKED,QUICK3V3,14,us_southeast,PLAYER,850888762270560256,kingslothe,False,1,NORMAL,-1,False,1,67,450,16,3,0.0,0.0,0.0,223.31,16.0,11.24,4.0,22.0,0.0,75.0,95.0,26.0,0.0,False,50.0,1.0,https://cdn.developer.battlerite.com/stunlock-studios-battlerite/global/2019/07/17/03/24/6bb0b906-a842-11e9-be5f-0a586460069f-telemetry.json,MERIKO SUMMIT - NIGHT,RANGED,VARESH,Season03_Gold,#1 Season 4 3v3,Rare,PALE OBSIDIAN,Legendary,ANCIENT SERPENT CONDUCTORS,Rare,GLORY,Legendary,RAZER SERPENT,PERPETUITY,FERVOR,CELERITY,INHIBITOR,SYNERGY,"PERPETUITY, FERVOR, CELERITY, INHIBITOR, SYNERGY",Silver,Atlanta,33.7537,-84.3863
5CE20A75F6D9497CA92B7E9B0EF70F57,67104,2019-07-17T02:59:40Z,LEAGUE3V3,RANKED,QUICK3V3,14,us_southeast,PLAYER,778726347286671360,Millesek,False,1,NORMAL,-1,False,1,67,725,22,1,2.0,0.0,0.0,289.0,124.0,53.149998,23.399994,84.0,15.0,75.0,106.0,34.0,1.0,False,40.0,1.0,https://cdn.developer.battlerite.com/stunlock-studios-battlerite/global/2019/07/17/03/24/6bb0b906-a842-11e9-be5f-0a586460069f-telemetry.json,MERIKO SUMMIT - NIGHT,MELEE,BAKKO,Lunar_15,#1 Season 4 3v3,Legendary,FROST FATHER,Epic,FROST GIANT SKULL,Rare,A GIFT OF LOVE,Legendary,THE WINTER GIFT,HAMSTRING,BRAVERY,SHIELD BASH,ADRENALINE SLAM,RAGING RAM,"HAMSTRING, BRAVERY, SHIELD BASH, ADRENALINE SLAM, RAGING RAM",Silver,Atlanta,33.7537,-84.3863
5CE20A75F6D9497CA92B7E9B0EF70F57,67104,2019-07-17T02:59:40Z,LEAGUE3V3,RANKED,QUICK3V3,14,us_southeast,PLAYER,778726347286671360,Millesek,False,1,NORMAL,-1,False,1,67,725,22,2,1.0,0.0,0.0,209.0,48.0,16.6,10.949982,85.0,18.0,100.0,101.0,39.0,0.0,False,76.0,1.0,https://cdn.developer.battlerite.com/stunlock-studios-battlerite/global/2019/07/17/03/24/6bb0b906-a842-11e9-be5f-0a586460069f-telemetry.json,MERIKO SUMMIT - NIGHT,MELEE,BAKKO,Lunar_15,#1 Season 4 3v3,Legendary,FROST FATHER,Epic,FROST GIANT SKULL,Rare,A GIFT OF LOVE,Legendary,THE WINTER GIFT,HAMSTRING,BRAVERY,SHIELD BASH,ADRENALINE SLAM,RAGING RAM,"HAMSTRING, BRAVERY, SHIELD BASH, ADRENALINE SLAM, RAGING RAM",Silver,Atlanta,33.7537,-84.3863
5CE20A75F6D9497CA92B7E9B0EF70F57,67104,2019-07-17T02:59:40Z,LEAGUE3V3,RANKED,QUICK3V3,14,us_southeast,PLAYER,778726347286671360,Millesek,False,1,NORMAL,-1,False,1,67,725,22,3,0.0,0.0,0.0,199.0,124.0,6.3,58.1,77.0,29.0,50.0,97.0,29.0,0.0,False,50.0,1.0,https://cdn.developer.battlerite.com/stunlock-studios-battlerite/global/2019/07/17/03/24/6bb0b906-a842-11e9-be5f-0a586460069f-telemetry.json,MERIKO SUMMIT - NIGHT,MELEE,BAKKO,Lunar_15,#1 Season 4 3v3,Legendary,FROST FATHER,Epic,FROST GIANT SKULL,Rare,A GIFT OF LOVE,Legendary,THE WINTER GIFT,HAMSTRING,BRAVERY,SHIELD BASH,ADRENALINE SLAM,RAGING RAM,"HAMSTRING, BRAVERY, SHIELD BASH, ADRENALINE SLAM, RAGING RAM",Silver,Atlanta,33.7537,-84.3863
5CE20A75F6D9497CA92B7E9B0EF70F57,67104,2019-07-17T02:59:40Z,LEAGUE3V3,RANKED,QUICK3V3,14,us_southeast,PLAYER,782427477241917440,WASTEOF20DOLLARS,False,1,NORMAL,-1,False,1,67,680,18,1,0.0,0.0,0.0,339.8453,129.0,115.6,84.5,46.0,8.0,125.0,146.0,40.0,0.0,False,40.0,1.0,https://cdn.developer.battlerite.com/stunlock-studios-battlerite/global/2019/07/17/03/24/6bb0b906-a842-11e9-be5f-0a586460069f-telemetry.json,MERIKO SUMMIT - NIGHT,SUPPORT,ULRIC,Drop_63,#5 Battle Season 2 Solo,Legendary,CELESTIAL VINDICATOR,Legendary,DIVINE FAITH,Rare,THE PATH,Legendary,"GROWLAN, THE CHAMPION'S WARLION",ENCHANTED WEAPON,CLEAVE,DIVINE PROTECTION,HALO,VINDICATOR,"ENCHANTED WEAPON, CLEAVE, DIVINE PROTECTION, HALO, VINDICATOR",Silver,Atlanta,33.7537,-84.3863
5CE20A75F6D9497CA92B7E9B0EF70F57,67104,2019-07-17T02:59:40Z,LEAGUE3V3,RANKED,QUICK3V3,14,us_southeast,PLAYER,782427477241917440,WASTEOF20DOLLARS,False,1,NORMAL,-1,False,1,67,680,18,2,1.0,0.0,0.0,346.0,129.0,225.36,92.2,46.0,34.0,100.0,199.99997,53.0,0.0,False,76.0,1.0,https://cdn.developer.battlerite.com/stunlock-studios-battlerite/global/2019/07/17/03/24/6bb0b906-a842-11e9-be5f-0a586460069f-telemetry.json,MERIKO SUMMIT - NIGHT,SUPPORT,ULRIC,Drop_63,#5 Battle Season 2 Solo,Legendary,CELESTIAL VINDICATOR,Legendary,DIVINE FAITH,Rare,THE PATH,Legendary,"GROWLAN, THE CHAMPION'S WARLION",ENCHANTED WEAPON,CLEAVE,DIVINE PROTECTION,HALO,VINDICATOR,"ENCHANTED WEAPON, CLEAVE, DIVINE PROTECTION, HALO, VINDICATOR",Silver,Atlanta,33.7537,-84.3863
5CE20A75F6D9497CA92B7E9B0EF70F57,67104,2019-07-17T02:59:40Z,LEAGUE3V3,RANKED,QUICK3V3,14,us_southeast,PLAYER,782427477241917440,WASTEOF20DOLLARS,False,1,NORMAL,-1,False,1,67,680,18,3,2.0,0.0,0.0,348.0,65.0,113.15,47.5,35.0,2.0,100.0,193.97144,50.0,1.0,False,50.0,1.0,https://cdn.developer.battlerite.com/stunlock-studios-battlerite/global/2019/07/17/03/24/6bb0b906-a842-11e9-be5f-0a586460069f-telemetry.json,MERIKO SUMMIT - NIGHT,SUPPORT,ULRIC,Drop_63,#5 Battle Season 2 Solo,Legendary,CELESTIAL VINDICATOR,Legendary,DIVINE FAITH,Rare,THE PATH,Legendary,"GROWLAN, THE CHAMPION'S WARLION",ENCHANTED WEAPON,CLEAVE,DIVINE PROTECTION,HALO,VINDICATOR,"ENCHANTED WEAPON, CLEAVE, DIVINE PROTECTION, HALO, VINDICATOR",Silver,Atlanta,33.7537,-84.3863
5CE20A75F6D9497CA92B7E9B0EF70F57,67104,2019-07-17T02:59:40Z,LEAGUE3V3,RANKED,QUICK3V3,14,us_southeast,PLAYER,868628693436739584,Ulqui,True,2,NORMAL,-1,False,5,0,29,9,1,0.0,1.0,0.0,174.0,347.95,134.0,24.0,43.0,58.0,0.0,87.0,31.0,0.0,False,40.0,0.0,https://cdn.developer.battlerite.com/stunlock-studios-battlerite/global/2019/07/17/03/24/6bb0b906-a842-11e9-be5f-0a586460069f-telemetry.json,MERIKO SUMMIT - NIGHT,MELEE,FREYA,Drop_70,Contender,Epic,WHITE QUEEN,Epic,GOLD WAR SCEPTERS,Rare,SWEET VICTORY,Rare,MAGIC ROYAL CARPET,TWIN HAMMERS,ELECTRIC CONDUCTION,OVERCHARGE,TORRENT,LIGHTNING ROD,"TWIN HAMMERS, ELECTRIC CONDUCTION, OVERCHARGE, TORRENT, LIGHTNING ROD",Silver,Atlanta,33.7537,-84.3863
5CE20A75F6D9497CA92B7E9B0EF70F57,67104,2019-07-17T02:59:40Z,LEAGUE3V3,RANKED,QUICK3V3,14,us_southeast,PLAYER,868628693436739584,Ulqui,True,2,NORMAL,-1,False,5,0,29,9,2,0.0,1.0,0.0,291.0,382.32,127.0,53.0,48.0,31.0,100.0,125.0,40.0,1.0,False,76.0,0.0,https://cdn.developer.battlerite.com/stunlock-studios-battlerite/global/2019/07/17/03/24/6bb0b906-a842-11e9-be5f-0a586460069f-telemetry.json,MERIKO SUMMIT - NIGHT,MELEE,FREYA,Drop_70,Contender,Epic,WHITE QUEEN,Epic,GOLD WAR SCEPTERS,Rare,SWEET VICTORY,Rare,MAGIC ROYAL CARPET,TWIN HAMMERS,ELECTRIC CONDUCTION,OVERCHARGE,TORRENT,LIGHTNING ROD,"TWIN HAMMERS, ELECTRIC CONDUCTION, OVERCHARGE, TORRENT, LIGHTNING ROD",Silver,Atlanta,33.7537,-84.3863
